Knot1,Knot2,Variant
t00017,t00017,reverse_mirror
t00017,t11441,identity
t00017,t11441,reverse
t00017,t11441,mirror
t00017,t11441,reverse_mirror
t00017,o9_37768,identity
t00017,o9_37768,reverse
t00017,o9_37768,mirror
t00017,o9_37768,reverse_mirror
t00017,o9_41058,identity
t00017,o9_41058,reverse
t00017,o9_41058,mirror
t00017,o9_41058,reverse_mirror
t00027,t00027,reverse
t00027,t05074,mirror
t00027,t05074,reverse_mirror
t00027,o9_22337,identity
t00027,o9_22337,reverse
t00027,o9_39339,identity
t00027,o9_39339,reverse
t00027,o9_41995,mirror
t00027,o9_41995,reverse_mirror
t00027,o9_43874,identity
t00027,o9_43874,reverse
t00110,t00110,reverse
t00146,t00146,reverse
t00146,t05658,identity
t00146,t05658,reverse
t00324,t00324,reverse
t00423,t00423,reverse
t00434,t00434,reverse
t00550,t00550,reverse
t00565,t00565,reverse
t00577,t00577,reverse
t00577,t00577,mirror
t00577,t00577,reverse_mirror
t00621,t00621,reverse
t00729,t00729,reverse
t00787,t00787,reverse
t00826,t00826,reverse
t00826,o9_07195,mirror
t00826,o9_07195,reverse_mirror
t00855,t00855,reverse
t00873,t00873,reverse
t00932,t00932,reverse
t01033,t01033,reverse
t01033,t03566,mirror
t01033,t03566,reverse_mirror
t01037,t01037,reverse
t01037,o9_34000,identity
t01037,o9_34000,reverse
t01039,t01039,reverse
t01125,t01125,reverse
t01142,t01142,reverse
t01142,t01142,mirror
t01142,t01142,reverse_mirror
t01216,t01216,reverse
t01235,t01235,reverse
t01268,t01268,reverse
t01292,t01292,reverse
t01318,t01318,reverse
t01342,t01342,reverse
t01368,t01368,reverse
t01409,t01409,reverse
t01422,t01422,reverse
t01424,t01424,reverse
t01440,t01440,reverse
t01598,t01598,reverse
t01636,t01636,reverse
t01646,t01646,reverse
t01690,t01690,reverse
t01757,t01757,reverse
t01779,t01779,reverse
t01815,t01815,reverse
t01834,t01834,reverse
t01850,t01850,reverse
t01863,t01863,reverse
t01901,t01901,reverse
t01901,t01901,mirror
t01901,t01901,reverse_mirror
t01949,t01949,reverse
t01966,t01966,reverse
t02019,t02019,reverse
t02019,t02019,mirror
t02019,t02019,reverse_mirror
t02019,o9_16248,identity
t02019,o9_16248,reverse
t02019,o9_16248,mirror
t02019,o9_16248,reverse_mirror
t02069,t02069,reverse
t02069,t04507,mirror
t02069,t04507,reverse_mirror
t02069,t10930,mirror
t02069,t10930,reverse_mirror
t02069,o9_16874,identity
t02069,o9_16874,reverse
t02069,o9_22337,mirror
t02069,o9_22337,reverse_mirror
t02069,o9_22550,mirror
t02069,o9_22550,reverse_mirror
t02099,t02099,reverse
t02104,t02104,reverse
t02188,t02188,reverse
t02188,o9_28874,mirror
t02188,o9_28874,reverse_mirror
t02238,t02238,reverse
t02275,t02275,reverse
t02276,t02276,reverse
t02378,t02378,reverse
t02398,t02398,reverse
t02404,t02404,reverse
t02470,t02470,reverse
t02537,t02537,reverse
t02567,t02567,reverse
t02599,t02599,reverse
t02634,t02634,reverse
t02634,o9_11577,mirror
t02634,o9_11577,reverse_mirror
t02634,o9_36090,mirror
t02634,o9_36090,reverse_mirror
t02634,o9_42963,identity
t02634,o9_42963,reverse
t02639,t02639,reverse
t02789,t02789,reverse
t02795,t02795,reverse
t03106,t03106,reverse
t03566,t03566,reverse
t03592,t03592,reverse
t03607,t03607,reverse
t03608,t03608,reverse
t03608,t03608,mirror
t03608,t03608,reverse_mirror
t03608,t12270,identity
t03608,t12270,reverse
t03608,t12270,mirror
t03608,t12270,reverse_mirror
t03709,t03709,reverse
t03710,t03710,reverse
t03713,t03713,reverse
t03781,t03781,reverse
t03843,t03843,reverse
t03864,t03864,reverse
t03956,t03956,reverse
t03979,t03979,reverse
t03979,o9_28284,identity
t03979,o9_28284,reverse
t04003,t04003,reverse
t04003,o9_29551,identity
t04003,o9_29551,reverse
t04019,t04019,reverse
t04102,t04102,reverse
t04102,o9_22925,mirror
t04102,o9_22925,reverse_mirror
t04180,t04180,reverse
t04228,t04228,reverse
t04244,t04244,reverse
t04359,t04359,reverse
t04364,t04364,reverse
t04382,t04382,reverse
t04449,t04449,reverse
t04507,t04507,reverse
t04507,t10930,identity
t04507,t10930,reverse
t04507,o9_16874,mirror
t04507,o9_16874,reverse_mirror
t04507,o9_22337,identity
t04507,o9_22337,reverse
t04507,o9_22550,identity
t04507,o9_22550,reverse
t04557,t04557,reverse
t04651,t04651,reverse
t04721,t04721,reverse
t04756,t04756,reverse
t04875,t04875,reverse
t04927,t04927,reverse
t04928,t04928,reverse
t04986,t04986,reverse
t05074,t05074,reverse
t05074,o9_22337,mirror
t05074,o9_22337,reverse_mirror
t05074,o9_39339,mirror
t05074,o9_39339,reverse_mirror
t05074,o9_41995,identity
t05074,o9_41995,reverse
t05074,o9_43874,mirror
t05074,o9_43874,reverse_mirror
t05118,t05118,reverse
t05118,o9_01496,identity
t05118,o9_01496,reverse
t05118,o9_16748,mirror
t05118,o9_16748,reverse_mirror
t05239,t05239,reverse
t05252,t05252,reverse
t05252,t05252,mirror
t05252,t05252,reverse_mirror
t05252,t05899,identity
t05252,t05899,reverse
t05252,t05899,mirror
t05252,t05899,reverse_mirror
t05252,o9_19326,identity
t05252,o9_19326,reverse
t05252,o9_19326,mirror
t05252,o9_19326,reverse_mirror
t05252,o9_39285,identity
t05252,o9_39285,reverse
t05252,o9_39285,mirror
t05252,o9_39285,reverse_mirror
t05269,t05269,reverse
t05288,t05288,reverse
t05390,t05390,reverse
t05399,t05399,reverse
t05425,t05425,reverse
t05425,t09580,identity
t05425,t09580,reverse
t05425,o9_24407,mirror
t05425,o9_24407,reverse_mirror
t05426,t05426,reverse
t05538,t05538,reverse
t05538,t09690,mirror
t05538,t09690,reverse_mirror
t05538,o9_24779,identity
t05538,o9_24779,reverse
t05564,t05564,reverse
t05578,t05578,reverse
t05658,t05658,reverse
t05663,t05663,reverse
t05674,t05674,reverse
t05695,t05695,reverse
t05803,t05803,reverse
t05803,o9_00022,mirror
t05803,o9_00022,reverse_mirror
t05803,o9_24670,mirror
t05803,o9_24670,reverse_mirror
t05803,o9_40449,identity
t05803,o9_40449,reverse
t05899,t05899,reverse
t05899,t05899,mirror
t05899,t05899,reverse_mirror
t05899,o9_19326,identity
t05899,o9_19326,reverse
t05899,o9_19326,mirror
t05899,o9_19326,reverse_mirror
t05899,o9_39285,identity
t05899,o9_39285,reverse
t05899,o9_39285,mirror
t05899,o9_39285,reverse_mirror
t06001,t06001,reverse
t06119,t06119,reverse
t06161,t06161,reverse
t06246,t06246,reverse
t06246,o9_23461,identity
t06246,o9_23461,reverse
t06316,t06316,reverse
t06316,t12120,mirror
t06316,t12120,reverse_mirror
t06316,o9_02163,mirror
t06316,o9_02163,reverse_mirror
t06440,t06440,reverse
t06463,t06463,reverse
t06525,t06525,reverse
t06570,t06570,reverse
t06573,t06573,reverse
t06605,t06605,reverse
t06637,t06637,reverse
t06715,t06715,reverse
t06715,t09633,identity
t06715,t09633,reverse
t06925,t06925,reverse
t06957,t06957,reverse
t07070,t07070,reverse
t07070,o9_35376,mirror
t07070,o9_35376,reverse_mirror
t07094,t07094,reverse
t07104,t07104,reverse
t07123,t07123,reverse
t07168,t07168,reverse
t07348,t07348,reverse
t07355,t07355,reverse
t07412,t07412,reverse
t07487,t07487,reverse
t07550,t07550,reverse
t07579,t07579,reverse
t07658,t07658,reverse
t07670,t07670,reverse
t07682,t07682,reverse
t07682,o9_23094,identity
t07682,o9_23094,reverse
t07687,t07687,reverse
t07693,t07693,reverse
t07734,t07734,reverse
t07734,t07734,mirror
t07734,t07734,reverse_mirror
t07734,o9_36955,identity
t07734,o9_36955,reverse
t07734,o9_36955,mirror
t07734,o9_36955,reverse_mirror
t07734,o9_37768,identity
t07734,o9_37768,reverse
t07734,o9_37768,mirror
t07734,o9_37768,reverse_mirror
t07944,t07944,reverse
t07967,t07967,reverse
t07979,t07979,reverse
t08111,t08111,reverse
t08114,t08114,reverse
t08173,t08173,reverse
t08173,t10500,mirror
t08173,t10500,reverse_mirror
t08184,t08184,reverse
t08201,t08201,reverse
t08237,t08237,reverse
t08267,t08267,reverse
t08273,t08273,reverse
t08307,t08307,reverse
t08346,t08346,reverse
t08386,t08386,reverse
t08387,t08387,reverse
t08387,o9_40130,mirror
t08387,o9_40130,reverse_mirror
t08403,t08403,reverse
t08443,t08443,reverse
t08443,o9_34676,identity
t08443,o9_34676,reverse
t08508,t08508,reverse
t08532,t08532,reverse
t08576,t08576,reverse
t08767,t08767,reverse
t08838,t08838,reverse
t08898,t08898,reverse
t08917,t08917,reverse
t08936,t08936,reverse
t08967,t08967,reverse
t08967,t08967,mirror
t08967,t08967,reverse_mirror
t08973,t08973,reverse
t09016,t09016,reverse
t09126,t09126,reverse
t09218,t09218,reverse
t09267,t09267,reverse
t09279,t09279,reverse
t09284,t09284,reverse
t09313,t09313,reverse
t09359,t09359,reverse
t09450,t09450,reverse
t09455,t09455,reverse
t09500,t09500,reverse
t09580,t09580,reverse
t09580,o9_24407,mirror
t09580,o9_24407,reverse_mirror
t09612,t09612,reverse
t09613,t09613,reverse
t09613,o9_34743,mirror
t09613,o9_34743,reverse_mirror
t09633,t09633,reverse
t09690,t09690,reverse
t09690,o9_24779,mirror
t09690,o9_24779,reverse_mirror
t09704,t09704,reverse
t09734,t09734,reverse
t09734,o9_22337,mirror
t09734,o9_22337,reverse_mirror
t09734,o9_37485,mirror
t09734,o9_37485,reverse_mirror
t09735,t09735,reverse
t09735,t09735,mirror
t09735,t09735,reverse_mirror
t09735,t11748,identity
t09735,t11748,reverse
t09735,t11748,mirror
t09735,t11748,reverse_mirror
t09772,t09772,reverse
t09847,t09847,reverse
t09852,t09852,reverse
t09859,t09859,reverse
t09882,t09882,reverse
t09900,t09900,reverse
t09900,o9_34908,identity
t09900,o9_34908,reverse
t09900,o9_43876,identity
t09900,o9_43876,reverse
t09901,t09901,reverse
t09901,t09901,mirror
t09901,t09901,reverse_mirror
t09912,t09912,reverse
t09927,t09927,reverse
t09927,o9_09408,mirror
t09927,o9_09408,reverse_mirror
t09954,t09954,reverse
t10177,t10177,reverse
t10188,t10188,reverse
t10215,t10215,reverse
t10224,t10224,reverse
t10230,t10230,reverse
t10262,t10262,reverse
t10292,t10292,reverse
t10407,t10407,reverse
t10416,t10416,reverse
t10462,t10462,reverse
t10462,o9_00133,mirror
t10462,o9_00133,reverse_mirror
t10496,t10496,reverse
t10499,t10499,reverse
t10500,t10500,reverse
t10558,t10558,reverse
t10620,t10620,reverse
t10643,t10643,reverse
t10645,t10645,reverse
t10645,t10645,mirror
t10645,t10645,reverse_mirror
t10664,t10664,reverse
t10681,t10681,reverse
t10832,t10832,reverse
t10930,t10930,reverse
t10930,o9_16874,mirror
